round,selected_clients
0,client.6@group-1;client.8@group-1
1,client.1@group-1;client.9@group-1
2,client.3@group-1;client.10@group-1
3,client.5@group-1;client.7@group-1
4,client.4@group-1;client.6@group-1
5,client.2@group-1;client.8@group-1
6,client.3@group-1;client.9@group-1
7,client.1@group-1;client.10@group-1
8,client.5@group-1;client.6@group-1
9,client.4@group-1;client.7@group-1
10,client.6@group-1;client.9@group-1
11,client.3@group-1;client.10@group-1
12,client.2@group-1;client.8@group-1
13,client.4@group-1;client.6@group-1
14,client.1@group-1;client.9@group-1
15,client.6@group-1;client.7@group-1
16,client.4@group-1;client.5@group-1
17,client.3@group-1;client.10@group-1
18,client.5@group-1;client.6@group-1
19,client.7@group-1;client.9@group-1
20,client.1@group-1;client.4@group-1
21,client.6@group-1;client.9@group-1
22,client.2@group-1;client.8@group-1
23,client.9@group-1;client.10@group-1
24,client.3@group-1;client.6@group-1
25,client.4@group-1;client.9@group-1
26,client.5@group-1;client.6@group-1
27,client.8@group-1;client.9@group-1
28,client.5@group-1;client.10@group-1
29,client.7@group-1;client.8@group-1
30,client.5@group-1;client.10@group-1
31,client.1@group-1;client.4@group-1
32,client.2@group-1;client.3@group-1
33,client.4@group-1;client.10@group-1
34,client.8@group-1;client.9@group-1
35,client.6@group-1;client.10@group-1
36,client.3@group-1;client.5@group-1
37,client.7@group-1;client.10@group-1
38,client.3@group-1;client.9@group-1
39,client.4@group-1;client.7@group-1
40,client.5@group-1;client.9@group-1
41,client.3@group-1;client.6@group-1
42,client.8@group-1;client.9@group-1
43,client.2@group-1;client.4@group-1
44,client.9@group-1;client.10@group-1
45,client.5@group-1;client.8@group-1
46,client.1@group-1;client.10@group-1
47,client.3@group-1;client.4@group-1
48,client.6@group-1;client.9@group-1
49,client.4@group-1;client.10@group-1
50,client.5@group-1;client.8@group-1
51,client.9@group-1;client.10@group-1
52,client.3@group-1;client.6@group-1
53,client.4@group-1;client.9@group-1
54,client.1@group-1;client.7@group-1
55,client.6@group-1;client.10@group-1
56,client.5@group-1;client.9@group-1
57,client.2@group-1;client.10@group-1
58,client.4@group-1;client.9@group-1
59,client.3@group-1;client.6@group-1
60,client.8@group-1;client.10@group-1
61,client.2@group-1;client.5@group-1
62,client.8@group-1;client.10@group-1
63,client.5@group-1;client.9@group-1
64,client.4@group-1;client.10@group-1
65,client.7@group-1;client.9@group-1
66,client.5@group-1;client.6@group-1
67,client.1@group-1;client.9@group-1
68,client.3@group-1;client.6@group-1
69,client.8@group-1;client.10@group-1
70,client.4@group-1;client.5@group-1
71,client.9@group-1;client.10@group-1
72,client.2@group-1;client.8@group-1
73,client.5@group-1;client.10@group-1
74,client.6@group-1;client.8@group-1
75,client.4@group-1;client.10@group-1
76,client.3@group-1;client.9@group-1
77,client.4@group-1;client.7@group-1
78,client.3@group-1;client.6@group-1
79,client.5@group-1;client.9@group-1
80,client.1@group-1;client.4@group-1
81,client.9@group-1;client.10@group-1
82,client.5@group-1;client.8@group-1
83,client.7@group-1;client.10@group-1
84,client.4@group-1;client.5@group-1
85,client.3@group-1;client.6@group-1
86,client.2@group-1;client.9@group-1
87,client.3@group-1;client.4@group-1
88,client.6@group-1;client.10@group-1
89,client.4@group-1;client.9@group-1
90,client.6@group-1;client.8@group-1
91,client.4@group-1;client.10@group-1
92,client.5@group-1;client.8@group-1
93,client.3@group-1;client.10@group-1
94,client.1@group-1;client.9@group-1
95,client.3@group-1;client.10@group-1
96,client.4@group-1;client.5@group-1
97,client.2@group-1;client.10@group-1
98,client.4@group-1;client.9@group-1
99,client.5@group-1;client.6@group-1
100,client.1@group-1;client.8@group-1
